id,name,province_id
515,Bình Sơn,48
516,Đức Phổ,48
517,Lý Sơn,48
518,Minh Long,48
519,Mộ Đức,48
520,Nghĩa Hành,48
521,Quảng Ngãi,48
522,Sơn Hà,48
523,Sơn Tây,48
524,Sơn Tịnh,48
525,Tây Trà,48
526,Trà Bồng,48
527,Tư Nghĩa,48
528,Ba Chẽ,49
529,Bình Liêu,49
530,Cẩm Phả,49
531,Cô Tô,49
532,Đầm Hà,49
533,Đông Triều,49
534,Hạ Long,49
535,Hải Hà,49
536,Hoành Bồ,49
537,Móng Cái,49
538,Quảng Yên,49
539,Tiên Yên,49
540,Uông Bí,49
541,Vân Đồn,49
542,Cam Lộ,50
543,Cồn Cỏ,50
544,Đa Krông,50
545,Đông Hà,50
546,Gio Linh,50
547,Hải Lăng,50
548,Hướng Hóa,50
549,Quảng Trị,50
550,Triệu Phong,50
551,Vĩnh Linh,50
552,Châu Thành,51
553,Cù Lao Dung,51
554,Kế Sách,51
555,Long Phú,51
556,Mỹ Tú,51
557,Mỹ Xuyên,51
558,Ngã Năm,51
559,Sóc Trăng,51
560,Thạnh Trị,51
561,Trần Đề,51
562,Vĩnh Châu,51
563,Bắc Yên,52
564,Mai Sơn,52
565,Mộc Châu,52
566,Mường La,52
567,Phù Yên,52
568,Quỳnh Nhai,52
569,Sông Mã,52
570,Sốp Cộp,52
571,Sơn La,52
572,Thuận Châu,52
573,Vân Hồ,52
574,Yên Châu,52
575,Bến Cầu,53
576,Châu Thành,53
577,Dương Minh Châu,53
578,Gò Dầu,53
579,Hòa Thành,53
580,Tân Biên,53
581,Tân Châu,53
582,Tây Ninh,53
583,Trảng Bàng,53
584,Đông Hưng,54
585,Hưng Hà,54
586,Kiến Xương,54
587,Quỳnh Phụ,54
588,Thái Bình,54
589,Thái Thụy,54
590,Tiền Hải,54
591,Vũ Thư,54
592,Đại Từ,55
593,Định Hóa,55
594,Đồng Hỷ,55
595,Phổ Yên,55
596,Phú Bình,55
597,Phú Lương,55
598,Sông Công,55
599,Thái Nguyên,55
600,Võ Nhai,55
601,Bá Thước,56
602,Bỉm Sơn,56
603,Cẩm Thủy,56
604,Đông Sơn,56
605,Hà Trung,56
606,Hậu Lộc,56
607,Hoằng Hóa,56
608,Lang Chánh,56
609,Mường Lát,56
610,Nga Sơn,56
611,Ngọc Lặc,56
612,Như Thanh,56
613,Như Xuân,56
614,Nông Cống,56
615,Quan Hóa,56
616,Quan Sơn,56
617,Quảng Xương,56
618,Sầm Sơn,56
619,Thạch Thành,56
620,Thanh Hóa,56
621,Thiệu Hóa,56
622,Thọ Xuân,56
623,Thường Xuân,56
624,Tĩnh Gia,56
625,Triệu Sơn,56
626,Vĩnh Lộc,56
627,Yên Định,56
628,Huế,57
629,Hương Thủy,57
630,Hương Trà,57
631,Nam Đông,57
632,A Lưới,57
633,Phong Điền,57
634,Phú Lộc,57
635,Phú Vang,57
636,Quảng Điền,57
637,Cai Lậy,58
638,Cai Lậy,58
639,Cái Bè,58
640,Châu Thành,58
641,Chợ Gạo,58
642,Gò Công,58
643,Gò Công Đông,58
644,Gò Công Tây,58
645,Mỹ Tho,58
646,Tân Phú Đông,58
647,Tân Phước,58
648,Bình Chánh,31
649,Bình Tân,31
650,Bình Thạnh,31
651,Cần Giờ,31
652,Củ Chi,31
653,Gò Vấp,31
654,Hóc Môn,31
655,Nhà Bè,31
656,Phú Nhuận,31
657,Quận 1,31
658,Quận 2,31
659,Quận 3,31
660,Quận 4,31
661,Quận 5,31
662,Quận 6,31
663,Quận 7,31
664,Quận 8,31
665,Quận 9,31
666,Quận 10,31
667,Quận 11,31
668,Quận 12,31
669,Tân Bình,31
670,Tân Phú,31
671,Thủ Đức,31
672,Càng Long,59
673,Cầu Kè,59
674,Cầu Ngang,59
675,Châu Thành,59
676,Duyên Hải,59
677,Duyên Hải,59
678,Tiểu Cần,59
679,Trà Cú,59
680,Trà Vinh,59
681,Chiêm Hóa,60
682,Hàm Yên,60
683,Lâm Bình,60
684,Na Hang,60
685,Sơn Dương,60
686,Tuyên Quang,60
687,Yên Sơn,60
